,id,listing_url,last_scraped,source,name,host_id,host_url,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month
25,64590,https://www.airbnb.com/rooms/64590,2025-06-21,city scrape,Direkt am Kanal! Tolle Wohnung mit Balkon,315681,https://www.airbnb.com/users/show/315681,Mirjam,2010-12-11,"Berlin, Germany",within an hour,100%,72%,t,Neukölln,1.0,1.0,"['email', 'phone']",t,t,,Reuterstraße,Neukölln,52.49337,13.42555,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Iron"", ""Private patio or balcony"", ""Cleaning products"", ""Canal view"", ""Oven"", ""Hot water"", ""Washer"", ""Freezer"", ""Cooking basics"", ""Baking sheet"", ""Bathtub"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""49 inch HDTV with Amazon Prime Video, Disney+, Netflix"", ""Body soap"", ""Hangers"", ""Fast wifi \u2013 104 Mbps"", ""Microwave"", ""Waterfront"", ""Hot water kettle"", ""Bose SoundLink Mini II Bluetooth sound system"", ""Drying rack for clothing"", ""Essentials"", ""Books and reading material"", ""Stove"", ""Host greets you"", ""Dishwasher"", ""Coffee maker"", ""Heating"", ""Dining table"", ""Toaster"", ""Dedicated workspace"", ""Blender"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$120.00,3,365,3.0,365.0,0,0,2,22,94,214,25680.0,4.99,5.0,4.96,4.94,0.56
26,68448,https://www.airbnb.com/rooms/68448,2025-06-21,city scrape,Quiet studio in Prenzlauer Berg near Mauerpark,163384,https://www.airbnb.com/users/show/163384,Alan & Kasia StayBearlin,2010-07-11,"Berlin, Germany",within an hour,100%,100%,t,Prenzlauer Berg,10.0,15.0,"['email', 'phone']",t,t,"Berlin, Germany",Prenzlauer Berg Nord,Pankow,52.55004,13.41518,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,"[""Iron"", ""Wifi"", ""Oven"", ""Hot water"", ""Smart lock"", ""Central heating"", ""Cooking basics"", ""Self check-in"", ""Bathtub"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""High chair"", ""Single level home"", ""Long term stays allowed"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Drying rack for clothing"", ""Essentials"", ""Stove"", ""Extra pillows and blankets"", ""Hair dryer"", ""Coffee maker"", ""Clothing storage: wardrobe"", ""Paid parking off premises"", ""Free washer \u2013 In unit"", ""Kitchen"", ""Dishes and silverware""]",$132.00,3,200,4.2,1125.0,12,29,59,329,433,255,33660.0,4.64,4.67,4.85,4.58,2.53
27,69780,https://www.airbnb.com/rooms/69780,2025-06-21,city scrape,Apartment in Prenzlauer Berg,55531,https://www.airbnb.com/users/show/55531,Chris + Oliver,2009-11-18,"Berlin, Germany",within a day,100%,25%,t,Prenzlauer Berg,4.0,5.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Prenzlauer Berg Nordwest,Pankow,52.5488,13.40425,Entire condo,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Iron"", ""Cleaning products"", ""Wifi"", ""Oven"", ""Washer"", ""Hot water"", ""TV"", ""Freezer"", ""Cooking basics"", ""Paid street parking off premises"", ""Smoke alarm"", ""Refrigerator"", ""Ethernet connection"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""Hot water kettle"", ""Drying rack for clothing"", ""Gas stove"", ""Extra pillows and blankets"", ""Dishwasher"", ""Coffee maker"", ""Heating"", ""Dining table"", ""Clothing storage: wardrobe"", ""Toaster"", ""Dedicated workspace"", ""Kitchen"", ""Bose Bluetooth speaker sound system with Bluetooth and aux"", ""Dishes and silverware""]",$106.00,150,1125,150.0,1125.0,0,0,0,160,2,255,27030.0,5.0,5.0,5.0,4.5,0.09
29,80843,https://www.airbnb.com/rooms/80843,2025-06-20,city scrape,Berlin City Studio,437628,https://www.airbnb.com/users/show/437628,Oliver,2011-03-12,"Berlin, Germany",within an hour,100%,100%,t,Schmargendorf,2.0,3.0,"['email', 'phone']",t,t,"Berlin, Germany",Schmargendorf,Charlottenburg-Wilm.,52.48074,13.28903,Entire rental unit,Entire home/apt,1,1.0,1 bath,0.0,1.0,"[""Iron"", ""Cleaning products"", ""Free street parking"", ""Oven"", ""Hot water"", ""Freezer"", ""Central heating"", ""Cooking basics"", ""Electric stove"", ""Baking sheet"", ""Bathtub"", ""Shower gel"", ""Carbon monoxide alarm"", ""First aid kit"", ""Smoke alarm"", ""Refrigerator"", ""Shared backyard \u2013 Fully fenced"", ""Bed linens"", ""Fast wifi \u2013 321 Mbps"", ""Single level home"", ""Body soap"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Safe"", ""Fire extinguisher"", ""Microwave"", ""Portable fans"", ""Hot water kettle"", ""Drying rack for clothing"", ""Essentials"", ""Books and reading material"", ""Board games"", ""Coffee"", ""26 inch HDTV with Netflix, premium cable"", ""Conditioner"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Outlet covers"", ""Dishwasher"", ""Host greets you"", ""Dining table"", ""Toaster"", ""Clothing storage: dresser"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Kitchen"", ""Wine glasses"", ""Coffee maker: Nespresso"", ""Dishes and silverware""]",$81.00,2,330,2.0,1125.0,5,5,5,5,182,176,14256.0,4.94,4.99,4.85,4.85,1.05
30,81081,https://www.airbnb.com/rooms/81081,2025-06-21,city scrape,Beautiful Prenzlauer Berg Apt,425899,https://www.airbnb.com/users/show/425899,Bernd+Katja :-),2011-03-06,"Berlin, Germany",within an hour,100%,100%,t,Prenzlauer Berg,1.0,1.0,"['email', 'phone']",t,t,,Prenzlauer Berg Nord,Pankow,52.55064,13.41466,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Private patio or balcony"", ""Cleaning products"", ""Wifi"", ""Oven"", ""Laundromat nearby"", ""Hot water"", ""TV"", ""Smart lock"", ""Cooking basics"", ""Baking sheet"", ""Self check-in"", ""Bathtub"", ""Carbon monoxide alarm"", ""First aid kit"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Body soap"", ""Shampoo"", ""Hangers"", ""Kitchen"", ""Portable fans"", ""Hot water kettle"", ""Backyard"", ""Essentials"", ""Stove"", ""Courtyard view"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Dining table"", ""Toaster"", ""Paid parking off premises"", ""Dedicated workspace"", ""Clothing storage: wardrobe"", ""Wine glasses"", ""Dishes and silverware""]",$69.00,3,35,6.4,1125.0,0,5,5,51,438,255,17595.0,4.93,4.95,4.89,4.86,2.54
31,83614,https://www.airbnb.com/rooms/83614,2025-06-21,city scrape,Spacious Prenzlauer Berg Apartment in Quiet Street,456085,https://www.airbnb.com/users/show/456085,Louis,2011-03-22,"Berlin, Germany",within an hour,100%,100%,t,Prenzlauer Berg,2.0,3.0,"['email', 'phone']",t,t,"Berlin, Germany",Helmholtzplatz,Pankow,52.54720260822955,13.416090488433827,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,2.0,3.0,"[""Iron"", ""Noise decibel monitors on property"", ""Wifi"", ""Oven"", ""Laundromat nearby"", ""Children\u2019s books and toys"", ""Washer"", ""City skyline view"", ""Cooking basics"", ""Lockbox"", ""Sound system"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Smoke alarm"", ""Refrigerator"", ""TV with standard cable, Netflix"", ""Bed linens"", ""High chair"", ""Single level home"", ""Ethernet connection"", ""Crib"", ""Shampoo"", ""Body soap"", ""Long term stays allowed"", ""Pocket wifi"", ""Hangers"", ""Paid parking on premises"", ""Fire extinguisher"", ""Microwave"", ""Coffee maker: espresso machine"", ""Hot water kettle"", ""Essentials"", ""Private entrance"", ""Stove"", ""Pets allowed"", ""Baby bath"", ""Courtyard view"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Room-darkening shades"", ""Paid parking off premises"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware""]",$313.00,2,1125,2.0,1125.0,4,17,41,303,395,126,39438.0,4.87,4.81,4.89,4.73,2.28
33,86090,https://www.airbnb.com/rooms/86090,2025-06-20,city scrape,spacious and cozy living in PrenzlBerg,472567,https://www.airbnb.com/users/show/472567,Alexandra,2011-03-30,"Berlin, Germany",within an hour,100%,92%,t,Prenzlauer Berg,3.0,4.0,"['email', 'phone']",t,t,,Prenzlauer Berg Nord,Pankow,52.54715,13.42657,Entire guest suite,Entire home/apt,4,1.0,1 bath,2.0,4.0,"[""Iron"", ""Wifi"", ""Washer"", ""TV"", ""Patio or balcony"", ""Elevator"", ""Smoke alarm"", ""Refrigerator"", ""High chair"", ""Crib"", ""Hangers"", ""Fire extinguisher"", ""Hot tub"", ""Essentials"", ""Pets allowed"", ""Host greets you"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware""]",$149.00,3,365,3.0,365.0,3,5,20,263,314,255,37995.0,4.88,4.89,4.82,4.72,1.84
34,89102,https://www.airbnb.com/rooms/89102,2025-06-21,city scrape,Bright loft in the Kastanienallee,485838,https://www.airbnb.com/users/show/485838,Michele,2011-04-05,"Berlin, Germany",within an hour,100%,99%,t,Prenzlauer Berg,4.0,5.0,"['email', 'phone']",t,t,"Berlin, Germany",Prenzlauer Berg Südwest,Pankow,52.54048,13.41087,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Iron"", ""Private patio or balcony"", ""Wifi"", ""Oven"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Free parking on premises"", ""Elevator"", ""Bathtub"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Crib"", ""Shampoo"", ""Hangers"", ""Paid parking on premises"", ""Microwave"", ""Essentials"", ""Books and reading material"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Room-darkening shades"", ""Dishwasher"", ""Kitchen"", ""Dishes and silverware""]",$131.00,4,365,4.0,365.0,1,6,6,6,70,25,3275.0,4.81,4.61,4.96,4.7,0.41
35,115576,https://www.airbnb.com/rooms/115576,2025-06-21,city scrape,Bed and Garden,584750,https://www.airbnb.com/users/show/584750,Axel,2011-05-13,"Berlin, Germany",within a few hours,100%,93%,t,Niederschönhausen,1.0,1.0,"['email', 'phone']",t,t,,Blankenfelde/Niederschönhausen,Pankow,52.58178,13.3962,Entire home,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Iron"", ""Wifi"", ""Free street parking"", ""Garden view"", ""Children\u2019s books and toys"", ""Washer"", ""Hot water"", ""TV"", ""Cooking basics"", ""Pack \u2019n play/Travel crib"", ""Smoke alarm"", ""Bed linens"", ""High chair"", ""Crib"", ""Long term stays allowed"", ""Hangers"", ""Fire extinguisher"", ""Kitchen"", ""Essentials"", ""Books and reading material"", ""Pets allowed"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Heating"", ""Clothing storage: wardrobe"", ""Dishes and silverware""]",$90.00,2,30,2.0,30.0,2,4,15,277,50,139,12510.0,4.96,4.86,4.86,4.8,0.35
37,127708,https://www.airbnb.com/rooms/127708,2025-06-21,city scrape,Design Jewel in the midst of MITTE!,632174,https://www.airbnb.com/users/show/632174,Stéphanie,2011-05-27,"Berlin, Germany",within an hour,100%,100%,t,Mitte,7.0,7.0,"['email', 'phone', 'work_email']",t,t,,Alexanderplatz,Mitte,52.52536,13.40488,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Cleaning products"", ""Wifi"", ""Baby monitor"", ""Babysitter recommendations"", ""Oven"", ""Hot water"", ""Washer"", ""Children\u2019s dinnerware"", ""Cooking basics"", ""Pack \u2019n play/Travel crib"", ""Shower gel"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""High chair"", ""TV with standard cable"", ""Crib"", ""Window guards"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""Portable fans"", ""Essentials"", ""Stove"", ""Pets allowed"", ""Baby bath"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Host greets you"", ""Hair dryer"", ""Outlet covers"", ""Heating"", ""Coffee maker"", ""Severals body soap"", ""Room-darkening shades"", ""Toaster"", ""Dishwasher"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$109.00,2,365,2.0,365.0,7,12,16,258,747,255,27795.0,4.83,4.91,4.96,4.78,4.5
40,147339,https://www.airbnb.com/rooms/147339,2025-06-21,city scrape,Lovely apartment - central - quiet,712073,https://www.airbnb.com/users/show/712073,Gerhard,2011-06-17,"Berlin, Germany",within a few hours,100%,98%,t,Schöneberg,1.0,1.0,"['email', 'phone']",t,t,,Schöneberg-Süd,Tempelhof - Schöneberg,52.48033,13.3609,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Cleaning products"", ""Wifi"", ""Free street parking"", ""Children\u2019s books and toys"", ""Hot water"", ""Freezer"", ""Cooking basics"", ""Outdoor furniture"", ""Shower gel"", ""Carbon monoxide alarm"", ""Free washer \u2013 In building"", ""First aid kit"", ""Smoke alarm"", ""Refrigerator"", ""Private backyard \u2013 Fully fenced"", ""Bed linens"", ""HDTV"", ""Sound system with aux"", ""Single level home"", ""Body soap"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Kitchen"", ""Microwave"", ""Hot water kettle"", ""Drying rack for clothing"", ""Essentials"", ""Books and reading material"", ""Stove"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Host greets you"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Dining table"", ""Room-darkening shades"", ""Toaster"", ""Dishwasher"", ""Clothing storage: wardrobe"", ""Wine glasses"", ""Dishes and silverware""]",$120.00,4,365,3.1,365.0,8,24,38,280,325,255,30600.0,4.9,4.96,4.84,4.87,1.93
44,163287,https://www.airbnb.com/rooms/163287,2025-06-21,previous scrape,"Very nice apartment, Bergmann area",779623,https://www.airbnb.com/users/show/779623,Stefano,2011-07-05,"Berlin, Germany",,,100%,t,Kreuzberg,2.0,4.0,"['email', 'phone']",t,t,"Berlin, Germany",Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,52.49295,13.39657,Entire condo,Entire home/apt,2,,1 bath,1.0,,"[""Iron"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Heating"", ""Fire extinguisher"", ""First aid kit"", ""Other induction stove"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Refrigerator"", ""Microwave"", ""Hot water kettle"", ""Dedicated workspace"", ""Essentials"", ""Kitchen"", ""Dishes and silverware""]",,92,365,150.0,365.0,0,0,0,0,73,255,,4.82,4.69,4.84,4.72,0.43
